	PL01	PL02	3D7
PF3D7_0730800	8329	2939	3850
PF3D7_1463700	50	34	6
PF3D7_1318200	28	14	0
PF3D7_0832500	0	4	0
PF3D7_1455900	6	9	1
PF3D7_1321900	439	131	167
PF3D7_1234800	2074	651	495
PF3D7_0930000	11	4	0
PF3D7_0219200	6944	2632	1042
PF3D7_1229500	1793	650	193
PF3D7_1457300	802	314	82
PF3D7_0828700	12	6	3
PF3D7_0616900	141	46	18
PF3D7_0721600	6564	2429	803
PF3D7_0405000	372	109	106
PF3D7_1006000	36	15	0
PF3D7_0420100	317	97	62
PF3D7_1453900	600	208	108
PF3D7_0733000	48	25	76
PF3D7_0207200	5	1	0
PF3D7_1208400	63	34	9
PF3D7_0722900	2	0	0
PF3D7_0602700	16	7	7
PF3D7_0611600	151	82	28
PF3D7_0624800	23	7	3
PF3D7_1005100	156	79	53
PF3D7_1402100	58	26	4
PF3D7_1012600	952	364	173
PF3D7_0221200	39	25	13
PF3D7_1006200	4088	1388	228
PF3D7_0500200	0	0	0
PF3D7_0313200	35	11	2
PF3D7_0701800	0	6	0
PF3D7_1415300	727	280	127
PF3D7_1476800	51	12	27
PF3D7_0103300	826	236	1250
PF3D7_0624300	196	77	55
PF3D7_0713900	1274	376	255
PF3D7_1013300	115	48	9
PF3D7_1230100	146	27	7
PF3D7_1022700	0	0	0
PF3D7_1460400	1051	334	85
PF3D7_1027500	11	4	7
PF3D7_0314800	5	1	2
PF3D7_1202600	6123	2361	2160
PF3D7_1348100	66	35	8
PF3D7_0302800	52	23	21
PF3D7_0930500	206	90	145
PF3D7_0200400	1	16	0
PF3D7_1101800	0	0	0
PF3D7_1426200	1920	658	125
PF3D7_1021600	2500	757	787
PF3D7_0411600	0	0	0
PF3D7_0605500	96	38	33
PF3D7_0828400	54	30	22
PF3D7_0801800	6228	2216	2833
PF3D7_0518000	68	18	27
PF3D7_0731400	149	44	28
PF3D7_0608800	8995	2802	1699
PF3D7_0609700	1342	426	443
PF3D7_0911700	249	87	56
PF3D7_1429800	1839	654	501
PF3D7_0320200	32	5	1
PF3D7_0705300	298	180	59
PF3D7_0730400	281	111	185
PF3D7_1101700	0	0	0
PF3D7_1478200	0	0	0
PF3D7_1148500	0	0	0
PF3D7_0315800	142	57	16
PF3D7_1232600	92	31	10
PF3D7_0510800	36	6	8
PF3D7_1417200	2001	632	701
PF3D7_1016100	2	0	0
__no_feature	64685	21351	8002
PF3D7_1125600	4	4	0
PF3D7_1404000	28	15	7
PF3D7_1319100	472	194	122
PF3D7_0731000	14	4	0
PF3D7_0506500	499	183	104
PF3D7_0926200	298	124	9
PF3D7_1311200	88	30	23
PF3D7_0931400	1051	528	466
PF3D7_0803500	398	132	52
PF3D7_0220500	4	3	5
PF3D7_0421600	6	4	0
PF3D7_0207800	414	190	162
PF3D7_1148800	237	81	133
PF3D7_1474900	119	54	7
PF3D7_0910800	121	46	24
PF3D7_1006500	42	14	8
PF3D7_0201100	0	0	0
PF3D7_1213000	0	0	0
PF3D7_0100500	0	0	0
PF3D7_0401200	1	0	0
PF3D7_0525900	71	15	5
PF3D7_0700200	1	2	0
PF3D7_0421300	5	11	117
PF3D7_1403300	4	1	0
PF3D7_1240600	35	17	1283
PF3D7_1211400	13412	4085	5762
PF3D7_1440000	79	43	9
PF3D7_1026900	5	2	1
PF3D7_0211200	32	20	3
PF3D7_0513800	286	94	21
PF3D7_0831100	55	17	4
PF3D7_0420600	158	63	11
PF3D7_1441600	32	14	3
PF3D7_0523600	139	53	12
PF3D7_1309120	0	0	0
PF3D7_1201800	24	17	6
PF3D7_0601000	0	0	0
PF3D7_0204200	1487	475	143
PF3D7_1476000	133	48	37
PF3D7_1013800	628	242	327
PF3D7_1453100	1	1	0
PF3D7_0106100	417	150	65
PF3D7_1477700	1171	412	110
PF3D7_0728700	54	22	2
PF3D7_1147900	41	24	4
PF3D7_0323200	70	23	11
PF3D7_API01500	0	0	0
PF3D7_0616300	45	15	2
PF3D7_0727600	82	37	9
PF3D7_0422100	158	59	33
PF3D7_1208700	90	23	7
PF3D7_0908400	27	18	2
PF3D7_1028000	616	189	97
PF3D7_0307800	1833	473	2053
PF3D7_1204700	90	24	13
PF3D7_0801900	1263	269	114
PF3D7_1023000	91	23	4
PF3D7_0701100	0	0	1
PF3D7_1149000	12043	4952	3956
PF3D7_0406100	11588	3205	2150
PF3D7_1204900	51	7	3
PF3D7_1405600	2447	990	590
PF3D7_0813200	345	156	40
PF3D7_1366300	1965	600	819
PF3D7_0319700	802	189	117
PF3D7_0306800	6219	1803	1463
PF3D7_1021200	792	353	224
PF3D7_1348900	40	20	6
PF3D7_0801600	1	1	0
PF3D7_0623100	3106	874	765
PF3D7_0911600	247	135	60
PF3D7_0714600	133	59	52
PF3D7_1449800	96	46	3
PF3D7_1452400	222	117	58
PF3D7_1250400	19	5	4
PF3D7_0803900	7	1	0
PF3D7_1139100	389	175	82
PF3D7_1123200	451	220	88
PF3D7_1464700	187	88	95
PF3D7_0303100	271	99	150
PF3D7_1472300	175	80	18
PF3D7_1370300	5595	2314	1885
PF3D7_1100900	0	0	0
PF3D7_0706100	297	117	69
PF3D7_0814200	136163	45244	91985
PF3D7_1365600	112	36	35
PF3D7_1110600	316	106	64
PF3D7_1029100	72	17	11
PF3D7_0413700	149	74	35
PF3D7_0810900	71	26	9
PF3D7_1409800	2270	558	1007
PF3D7_0501800	673	292	171
PF3D7_1208600	126	51	9
PF3D7_1031800	109	51	16
PF3D7_0530100	358	106	66
PF3D7_API01200	0	0	0
PF3D7_1316000	12	4	0
PF3D7_1426300	51	21	1
PF3D7_0606700	1713	668	225
PF3D7_1230600	152	72	8
PF3D7_1119600	615	223	105
PF3D7_0921400	0	0	1
PF3D7_1363000	20	8	2
PF3D7_0508400	111	17	3
__not_aligned	0	0	0
PF3D7_0712700	0	0	0
PF3D7_1368400	55	26	2
PF3D7_1368300	40	18	1
PF3D7_API04000	0	0	0
PF3D7_0613100	271	139	21
PF3D7_0400100	17	12	142
PF3D7_0719900	1555	494	574
PF3D7_API06300	0	0	0
PF3D7_1339200	0	0	0
PF3D7_0824400	403	143	298
PF3D7_0632300	3	0	0
PF3D7_1144200	70	15	3
PF3D7_1116800	9328	3823	2123
PF3D7_0706600	9	2	4
PF3D7_0721400	51	23	15
PF3D7_1017000	1355	512	164
PF3D7_1322700	42	6	2
PF3D7_1366800	93	45	4
PF3D7_1335900	55	17	9
PF3D7_1101900	0	0	0
PF3D7_1243500	134	69	22
PF3D7_1254800	1	7	0
PF3D7_0504500	66	22	3
PF3D7_1301700	943	369	437
PF3D7_1109600	0	0	0
PF3D7_1446300	295	69	57
PF3D7_1148100	4	0	2
PF3D7_0510900	2	0	1
PF3D7_0409800	170	55	14
PF3D7_0804200	0	0	0
PF3D7_1233700	15	3	8
PF3D7_1238300	747	273	160
PF3D7_1108400	1327	497	303
PF3D7_1122600	28	10	1
PF3D7_0807400	9	3	0
PF3D7_0419000	19	7	4
PF3D7_1136200	629	334	414
PF3D7_1372600	3	8	0
PF3D7_1467700	40	20	2
PF3D7_0604900	73	27	10
PF3D7_0818400	358	113	74
PF3D7_1350700	186	51	21
PF3D7_0510700	0	1	0
PF3D7_0509600	372	129	129
PF3D7_1430000	197	60	14
PF3D7_1409500	35	5	2
PF3D7_1034400	710	204	101
PF3D7_0314300	10	5	1
PF3D7_1003400	119	42	19
PF3D7_1116300	71	14	17
PF3D7_0615800	438	170	81
PF3D7_0218900	0	0	0
PF3D7_0805400	135	49	28
PF3D7_1313400	89	44	1
PF3D7_0930900	17	2	0
PF3D7_0600200	15	27	230
PF3D7_1470300	77	29	12
PF3D7_1034000	311	157	64
PF3D7_1364200	223	96	32
PF3D7_0927300	148	67	29
PF3D7_1437100	10	3	0
PF3D7_0212700	50	16	3
PF3D7_0304400	2397	682	285
PF3D7_0407200	31	10	11
PF3D7_0630300	254	85	53
PF3D7_1233400	214	73	35
PF3D7_0207700	2052	1008	831
PF3D7_1117300	104	39	14
PF3D7_1211000	59	18	8
PF3D7_1413200	77	14	10
PF3D7_1007000	85	41	1
PF3D7_0915600	14	7	3
PF3D7_1011100	59	20	7
PF3D7_0321100	56	29	12
PF3D7_0900800	441	4	1
PF3D7_1457800	115	42	14
PF3D7_0107500	8623	2356	2085
PF3D7_0514600	145	85	23
PF3D7_0819900	224	89	12
PF3D7_1456200	77	21	6
PF3D7_1454100	10	7	2
PF3D7_1106900	21	6	0
PF3D7_1111400	11	7	2
PF3D7_0608600	145	62	70
PF3D7_0813800	26	13	2
PF3D7_0819300	16	3	4
PF3D7_0109400	978	342	107
PF3D7_0920500	221	78	18
PF3D7_0933500	459	139	325
PF3D7_0908600	240	98	35
PF3D7_0518100	335	116	76
PF3D7_1235500	677	237	189
PF3D7_1006600	492	120	19
PF3D7_0504300	7	2	0
PF3D7_0532600	59	76	19
PF3D7_1472800	140	74	17
PF3D7_1024400	15	4	3
PF3D7_0906500	2520	794	542
PF3D7_1003900	1	2	0
PF3D7_1317600	53	27	9
PF3D7_1438200	0	1	0
PF3D7_0407000	129	40	12
PF3D7_1326500	26	4	6
PF3D7_1246400	4338	1026	373
PF3D7_1020800	114	32	6
PF3D7_1242000	103	45	18
PF3D7_1336200	131	69	30
PF3D7_0630200	128	21	17
PF3D7_0500500	1	0	0
PF3D7_0707200	157	70	70
PF3D7_0728100	92	26	22
PF3D7_0911800	63	42	8
PF3D7_0405200	116	27	37
PF3D7_0602100	772	247	164
PF3D7_1347400	49	20	8
PF3D7_1475200	69	38	18
PF3D7_1245100	300	109	18
PF3D7_0316800	4034	1316	391
PF3D7_1008600	6	5	0
PF3D7_0216600	2109	808	706
PF3D7_1017500	904	279	89
PF3D7_0918000	4118	1897	1274
PF3D7_1402900	61	20	21
PF3D7_0718700	39	15	9
PF3D7_1253500	0	0	0
PF3D7_1130700	164	86	97
PF3D7_1038500	17	4	0
PF3D7_1310300	730	335	133
PF3D7_0311300	698	323	249
PF3D7_0502100	78	30	6
PF3D7_1150200	0	2	0
PF3D7_1425200	29	8	3
PF3D7_1024000	76	35	22
PF3D7_1033300	314	122	9
PF3D7_1304500	215	69	12
PF3D7_0316200	92	35	17
PF3D7_1316600	1595	548	427
PF3D7_0704000	469	124	225
PF3D7_0723300	580	171	208
PF3D7_0817800	26	15	1
PF3D7_1223800	222	57	36
PF3D7_0903000	64	12	8
PF3D7_1425700	95	40	11
PF3D7_0207100	567	153	100
PF3D7_1468600	12	28	2
PF3D7_1238200	4	0	0
PF3D7_1402000	67	25	2
PF3D7_1345300	27	4	4
PF3D7_0909700	477	135	278
PF3D7_1237500	355	94	45
PF3D7_0317500	300	102	61
PF3D7_0904600	610	208	185
PF3D7_1002300	0	0	1
PF3D7_0716800	3307	1142	903
PF3D7_0702300	306	90	213
PF3D7_1430200	511	191	211
PF3D7_0822500	8	1	0
PF3D7_1240200	8	14	261
PF3D7_0803800	963	344	195
PF3D7_1222600	382	146	40
PF3D7_1438700	200	73	75
PF3D7_1367800	24	9	13
PF3D7_0423400	798	226	439
PF3D7_1244300	1	2	1
PF3D7_1355200	13	1	1
PF3D7_1337100	55	14	7
PF3D7_0312800	12780	3811	4618
PF3D7_1221000	510	175	89
PF3D7_0809000	0	0	0
PF3D7_1477600	109	34	14
PF3D7_0102000	0	0	0
PF3D7_0909800	474	123	75
PF3D7_1352300	101	26	19
PF3D7_0208100	348	142	72
PF3D7_0710100	131	61	44
PF3D7_0607900	300	117	19
PF3D7_1226900	394	152	52
PF3D7_0102400	33	12	16
PF3D7_0509800	1715	528	1447
PF3D7_1241700	749	265	206
PF3D7_1429900	116	53	42
PF3D7_0410800	685	233	597
PF3D7_0219900	41	24	6
PF3D7_1132300	595	259	277
PF3D7_0424000	2856	169	444
PF3D7_0922600	1210	510	188
PF3D7_0211300	45	19	12
PF3D7_1143800	880	294	144
PF3D7_1129600	41	20	2
PF3D7_0107700	24	10	1
PF3D7_0206700	0	0	0
PF3D7_0713000	4	4	1
PF3D7_1250800	909	244	402
PF3D7_0802500	412	145	133
PF3D7_1466900	286	97	63
PF3D7_1436200	168	66	47
PF3D7_0322600	26	13	5
PF3D7_1218900	38	22	5
PF3D7_0613200	21	4	2
PF3D7_1348200	162	73	26
PF3D7_0518700	157	46	39
PF3D7_0823100	511	171	93
PF3D7_1114200	1981	543	1248
PF3D7_1219200	7	0	0
PF3D7_1467100	11	9	1
PF3D7_0901300	1	12	0
PF3D7_0407400	247	57	66
PF3D7_1039600	0	0	0
PF3D7_1430700	161	41	23
PF3D7_0509300	255	83	92
PF3D7_1206800	260	73	18
PF3D7_1459200	380	129	113
PF3D7_1420700	19477	7360	4961
PF3D7_1419400	1442	540	784
PF3D7_0522800	262	96	43
PF3D7_1435600	433	148	76
PF3D7_1403200	107	34	0
PF3D7_1305100	48	35	4
PF3D7_1344800	488	151	52
PF3D7_1017300	420	133	147
PF3D7_0831000	90	21	2
PF3D7_0408000	309	64	90
PF3D7_0820800	80	26	9
PF3D7_1137500	235	131	68
PF3D7_1028600	919	445	141
PF3D7_0933600	322	87	66
PF3D7_0423500	3617	1536	830
PF3D7_0707420	0	0	0
PF3D7_0932500	136	28	26
PF3D7_0628200	2787	997	1290
PF3D7_0403500	70	37	0
PF3D7_0618400	8	4	1
PF3D7_0720600	93	53	20
PF3D7_0823400	5	0	0
PF3D7_1301900	4	6	1
PF3D7_1412200	163	27	12
PF3D7_0711300	110	50	36
PF3D7_1313200	26	11	2
PF3D7_0825300	22	4	1
PF3D7_0609200	67	33	5
PF3D7_0314600	35	16	8
PF3D7_1025400	551	213	162
PF3D7_1463800	10	5	2
PF3D7_1149400	154	32	14
PF3D7_1237400	580	239	143
PF3D7_0827000	604	215	145
PF3D7_1140100	105	42	9
PF3D7_0830800	208	59	23
PF3D7_1367400	199	72	18
PF3D7_0215200	31	9	14
PF3D7_1223600	31	5	2
PF3D7_1468100	8222	3465	3891
PF3D7_1312800	1949	487	1392
PF3D7_1039200	3	3	0
PF3D7_1425100	0	0	0
PF3D7_1369000	61	33	7
PF3D7_0515400	527	227	171
PF3D7_1444200	1	2	0
PF3D7_0412800	0	0	0
PF3D7_0505400	438	245	90
PF3D7_0533000	1	5	0
PF3D7_0312100	144	69	27
PF3D7_1136700	51	18	6
PF3D7_0528600	222	104	51
PF3D7_1204000	10	2	0
PF3D7_1423200	1062	280	179
PF3D7_0724700	693	187	463
PF3D7_0820600	24	8	3
PF3D7_1135200	0	1	0
PF3D7_0522300	629	161	524
PF3D7_1446600	4369	1553	1670
PF3D7_0310000	111	34	56
PF3D7_0925500	142	62	3
PF3D7_1343500	136	50	12
PF3D7_1002100	2755	872	1077
PF3D7_1405900	751	260	296
PF3D7_0509400	3777	1135	991
PF3D7_API05400	0	0	0
PF3D7_0414600	60	19	33
PF3D7_0105200	821	248	351
PF3D7_0304700	4	4	2
PF3D7_1228100	3	0	0
PF3D7_0932100	521	207	143
PF3D7_0203800	93	30	8
PF3D7_1011700	347	141	73
PF3D7_0517000	2929	993	345
PF3D7_1007600	361	106	106
PF3D7_1220200	7	0	3
PF3D7_1228900	350	97	98
PF3D7_1339100	0	0	0
PF3D7_0524000	6440	2000	1383
PF3D7_0207900	176	51	86
PF3D7_0301900	9	1	1
PF3D7_0629600	46	16	4
PF3D7_0602300	2	0	0
PF3D7_1312700	738	190	44
PF3D7_0504400	235	97	42
PF3D7_1108000	1779	585	1303
PF3D7_1252200	47	17	6
PF3D7_0520700	90	33	16
PF3D7_0902900	0	0	0
PF3D7_1406400	114	38	10
PF3D7_1100200	10	29	418
PF3D7_1211900	5930	1558	1068
PF3D7_1408100	2459	809	604
PF3D7_0206100	181	48	20
PF3D7_0809400	181	73	59
PF3D7_1467400	54	10	2
PF3D7_0504800	297	99	81
PF3D7_1106800	135	48	57
PF3D7_1253200	6	1	11
PF3D7_0503500	79	23	14
PF3D7_1121000	25	5	0
PF3D7_1210000	128	37	64
PF3D7_1019100	129	44	53
PF3D7_1004600	25	14	2
PF3D7_1330200	65	39	8
PF3D7_0624900	20	10	3
PF3D7_1022500	384	126	31
PF3D7_1102900	104	41	24
PF3D7_1344400	28	10	6
PF3D7_1109000	1	0	0
PF3D7_0102700	67	22	13
PF3D7_1006700	1088	378	258
PF3D7_1033100	10653	3671	3201
PF3D7_1016700	364	166	132
PF3D7_1349300	259	111	64
PF3D7_1122800	586	132	140
PF3D7_1135700	0	0	0
PF3D7_0400600	2	0	0
PF3D7_0201800	1033	491	270
PF3D7_0321600	397	144	51
PF3D7_0604800	100	24	2
PF3D7_1130300	0	1	0
PF3D7_1438300	0	0	0
PF3D7_1451800	1803	618	219
PF3D7_0933700	15	7	2
PF3D7_1473400	241	68	52
PF3D7_1358200	212	64	45
PF3D7_0727500	49	26	5
PF3D7_1214600	101	26	8
PF3D7_0706000	724	196	131
PF3D7_0402400	584	190	45
PF3D7_0506200	85	34	16
PF3D7_0215600	278	117	60
PF3D7_API03800	0	0	0
PF3D7_1223300	146	62	15
PF3D7_1345400	599	293	138
PF3D7_0903800	15	4	0
PF3D7_0927700	114	42	15
PF3D7_1217800	10	2	0
PF3D7_1217600	5	3	0
PF3D7_1369100	26	8	7
PF3D7_0324600	0	0	0
PF3D7_0824300	240	80	178
PF3D7_0912000	129	52	31
PF3D7_0902600	123	62	2
PF3D7_0703400	23	6	12
PF3D7_1237300	1	1	0
PF3D7_1130310	0	0	0
PF3D7_1409300	177	68	76
PF3D7_1402400	189	67	35
PF3D7_1230700	1909	697	755
PF3D7_0826000	72	21	10
PF3D7_1037900	15	10	0
PF3D7_1234700	59	22	3
PF3D7_1319000	141	81	16
PF3D7_1315400	1646	540	275
PF3D7_1141200	20	2	0
PF3D7_1432000	270	77	112
PF3D7_1245300	84	28	20
PF3D7_1358500	464	132	70
PF3D7_1320300	90	33	8
PF3D7_1023900	34116	10773	16915
PF3D7_0612200	1546	620	682
PF3D7_1038800	436	183	173
PF3D7_0625300	379	148	266
PF3D7_1235800	162	15	40
PF3D7_1320600	71	43	4
PF3D7_0505900	469	198	43
PF3D7_0221700	103	13	3
PF3D7_0311500	108	45	94
PF3D7_0831700	13730	7014	4891
PF3D7_0515300	352	143	91
PF3D7_1343700	1368	494	835
PF3D7_1238500	1274	319	363
PF3D7_0827100	134	25	64
PF3D7_1465500	4	1	1
PF3D7_0319200	447	154	45
PF3D7_1334300	1227	296	418
PF3D7_1330600	501	157	45
PF3D7_0217900	217	79	19
PF3D7_0808600	25	8	699
PF3D7_1124200	158	53	14
PF3D7_1200900	405	160	133
PF3D7_0731500	17158	5624	6632
PF3D7_0410300	277	134	96
PF3D7_0612600	217	70	76
PF3D7_1404700	154	52	12
PF3D7_0905500	54	24	9
PF3D7_1013100	804	313	617
PF3D7_1411400	55	22	6
PF3D7_1479400	0	1	0
PF3D7_1125400	318	93	44
PF3D7_1407700	4	4	4
PF3D7_0308800	69	34	2
PF3D7_0608700	1474	397	183
PF3D7_0822000	192	78	48
PF3D7_0613800	1538	559	653
PF3D7_0204300	316	124	143
PF3D7_1249100	1103	373	136
PF3D7_1444600	28	11	0
PF3D7_0611700	57	31	4
PF3D7_1145100	722	310	135
PF3D7_1364800	1348	434	160
PF3D7_0700600	0	0	0
PF3D7_0527700	0	0	0
PF3D7_0603800	745	362	340
PF3D7_1140600	38	10	9
PF3D7_API00800	0	0	0
PF3D7_1019600	274	118	62
PF3D7_1139700	67	25	5
PF3D7_1456800	11234	3346	6694
PF3D7_1446000	0	0	0
PF3D7_0406400	904	258	158
PF3D7_1372100	451	225	11
PF3D7_1005500	2228	690	718
PF3D7_0625600	869	322	253
PF3D7_1310900	194	64	38
PF3D7_0506900	496	192	78
PF3D7_1041200	1	2	0
PF3D7_0508800	556	202	127
PF3D7_0525200	207	93	81
PF3D7_1137700	8	3	1
PF3D7_0719700	4354	1425	1145
PF3D7_1320700	166	91	43
PF3D7_0616000	60	21	3
PF3D7_1227300	19	11	3
PF3D7_0507300	306	79	43
PF3D7_0219800	150	48	17
PF3D7_1308900	4319	1298	1853
PF3D7_0222800	0	2	0
PF3D7_0923000	165	56	15
PF3D7_0110900	37	11	0
PF3D7_0513300	8724	3302	7513
PF3D7_1115900	172	64	75
PF3D7_1323900	113	38	10
PF3D7_0610100	1970	814	373
PF3D7_0217800	3155	1175	775
PF3D7_0729200	79	27	5
PF3D7_1035400	1709	2026	2257
PF3D7_1238000	38	12	4
PF3D7_API04100	0	0	0
PF3D7_1309800	536	170	128
PF3D7_0624500	87	27	10
PF3D7_0902100	81	32	18
PF3D7_1340000	275	76	62
PF3D7_1332500	0	0	0
PF3D7_0828300	155	60	51
PF3D7_0904400	57	15	1
PF3D7_0727100	366	169	155
PF3D7_0925700	1672	705	288
PF3D7_1031400	71	36	31
PF3D7_1242700	5892	1917	686
PF3D7_0717800	96	24	52
PF3D7_1469100	75	31	9
PF3D7_0600600	237	8	9
PF3D7_1228600	26579	8420	20776
PF3D7_1480000	0	7	0
PF3D7_1427400	82	35	5
PF3D7_0922800	1382	212	177
PF3D7_0924300	26	7	6
PF3D7_1477900	108	36	7
PF3D7_1453700	35713	10621	13254
PF3D7_1373400	3	2	4
PF3D7_1010100	66	28	17
PF3D7_1024600	22	8	6
PF3D7_0525100	4047	1573	1117
PF3D7_0617100	615	219	85
PF3D7_1409100	884	369	158
PF3D7_0914200	932	278	816
PF3D7_1212900	2549	876	747
PF3D7_1214100	219	77	209
PF3D7_1346000	34	7	5
PF3D7_0807500	173	61	36
PF3D7_0203600	59	33	14
PF3D7_0805700	777	407	271
PF3D7_1401200	479	240	59
PF3D7_0302300	27	10	856
PF3D7_1311100	18	4	3
PF3D7_1133800	594	247	89
PF3D7_1427100	1352	512	302
PF3D7_1421500	8	1	0
PF3D7_1466600	26	12	2
PF3D7_1400400	5	0	0
PF3D7_0308900	381	151	99
PF3D7_1118800	28	13	3
PF3D7_1412000	131	52	24
PF3D7_0323000	3663	1539	874
PF3D7_0700500	0	1	0
PF3D7_0718900	2	0	0
PF3D7_1468800	2476	806	1432
PF3D7_1432500	203	48	117
PF3D7_0810100	39	8	2
PF3D7_1126600	372	95	65
PF3D7_0926800	133	61	21
PF3D7_0103800	80	31	10
PF3D7_0731300	1180	256	158
PF3D7_1445000	21	12	1
PF3D7_1470400	0	0	0
PF3D7_1455500	718	201	162
PF3D7_1305200	5	6	0
PF3D7_1306600	686	237	138
PF3D7_0831750	15	2	2
PF3D7_1038900	28	5	5
PF3D7_0310900	79	30	12
PF3D7_0528300	130	58	94
PF3D7_0800300	41	18	5103
PF3D7_1475300	71	21	3
PF3D7_1370100	0	0	0
PF3D7_1404200	21	9	1
PF3D7_1363400	299	105	26
PF3D7_1238100	4944	1448	777
PF3D7_1133500	50	21	5
PF3D7_0614400	475	155	78
PF3D7_0925600	45	15	10
PF3D7_1421300	20	16	6
PF3D7_1149500	148	63	5
PF3D7_1444100	139	18	32
PF3D7_0935300	28	4	0
PF3D7_0400500	2	5	6
PF3D7_1351000	1129	291	596
PF3D7_1104000	1516	476	181
PF3D7_1129200	785	294	278
PF3D7_0114100	0	0	0
PF3D7_1323300	45	9	5
PF3D7_0104600	13	3	3
PF3D7_0406800	153	53	20
PF3D7_1369800	0	0	0
PF3D7_1316100	237	111	42
PF3D7_0115300	0	1	0
PF3D7_0621400	124	62	4
PF3D7_0211100	17	3	2
PF3D7_1210500	0	1	0
PF3D7_1010000	119	40	10
PF3D7_0417400	1610	455	582
PF3D7_0613000	232	100	13
PF3D7_1024200	29	15	11
PF3D7_0418000	104	43	9
PF3D7_1235100	56	18	43
PF3D7_1462600	0	0	0
PF3D7_1024500	33	13	9
PF3D7_1431800	48	15	3
PF3D7_1470200	6	1	2
PF3D7_1014200	9	4	3
PF3D7_1352100	113	33	88
PF3D7_1325300	0	0	2
PF3D7_1407300	6912	2789	2658
PF3D7_1347200	15589	3321	9535
PF3D7_0403900	318	111	90
PF3D7_0814300	371	114	43
PF3D7_1007300	158	38	44
PF3D7_1106100	55	17	3
PF3D7_0318000	1	1	0
PF3D7_0408500	549	274	58
PF3D7_1226500	156	49	35
PF3D7_1247500	359	186	100
PF3D7_0219500	228	64	61
PF3D7_1115500	34	15	0
PF3D7_1432700	385	161	193
PF3D7_0115000	25	8	2
PF3D7_1410700	295	127	73
PF3D7_0217500	2723	621	911
PF3D7_1416200	403	143	51
PF3D7_1313800	384	93	152
PF3D7_1319200	72	18	4
PF3D7_0831900	448	167	222
PF3D7_1344700	90	34	10
PF3D7_1478100	26	3	1
PF3D7_0113800	491	309	303
PF3D7_1204600	52	33	8
PF3D7_1411300	529	180	641
PF3D7_0621500	34	16	1
PF3D7_0832700	0	0	1
PF3D7_1333300	215	96	73
PF3D7_0800200	17	21	813
PF3D7_1337300	251	110	28
PF3D7_1244400	261	131	43
PF3D7_1239900	236	79	65
PF3D7_0614100	51	33	4
PF3D7_0934200	9	6	0
PF3D7_1307000	136	38	46
PF3D7_0603100	21	5	0
PF3D7_0306100	269	93	193
PF3D7_1136400	439	113	73
PF3D7_0417300	847	271	371
PF3D7_1013400	75	12	2
PF3D7_0114750	0	0	0
PF3D7_0113900	267	98	54
PF3D7_1462100	150	67	13
PF3D7_0319300	154	61	10
PF3D7_1364300	294	110	94
PF3D7_1333200	288	99	241
PF3D7_0932400	123	61	16
PF3D7_1246300	520	198	172
PF3D7_1439900	2945	1154	700
PF3D7_1205700	56	12	7
PF3D7_1236500	5	1	0
PF3D7_1112700	18	6	3
PF3D7_1145400	1525	644	337
PF3D7_1406300	320	101	150
PF3D7_0501700	12	1	0
PF3D7_1359500	3	1	0
PF3D7_1327200	122	60	13
PF3D7_1241600	22	11	0
PF3D7_0108300	10866	2668	6785
PF3D7_0625200	121	62	21
PF3D7_1427800	45	15	2
PF3D7_1145900	23	7	1
PF3D7_0730100	34	10	3
PF3D7_0709300	421	115	69
PF3D7_0204400	233	59	37
PF3D7_1130600	218	40	106
PF3D7_0605800	357	153	59
PF3D7_1022800	216	101	29
PF3D7_1205800	1542	449	612
PF3D7_0710800	116	52	29
PF3D7_1312500	111	22	11
PF3D7_0501100	3512	1033	3766
PF3D7_0310700	106	43	30
PF3D7_0103000	56	24	10
PF3D7_0802900	74	34	4
PF3D7_0825000	173	104	76
PF3D7_0811800	9	4	1
PF3D7_1225100	162	57	21
PF3D7_1248800	85	34	8
PF3D7_0525400	169	66	70
PF3D7_0611000	4	3	0
PF3D7_0415800	67	17	16
PF3D7_1478700	75	29	0
PF3D7_0924800	3	0	0
PF3D7_1220700	44	14	4
PF3D7_1128000	415	168	77
PF3D7_0204100	1375	717	518
PF3D7_0528800	102	36	14
PF3D7_1149200	10121	2407	3523
PF3D7_1219100	443	146	39
PF3D7_API06500	0	0	0
PF3D7_1345800	1156	313	409
PF3D7_0515700	4126	1364	4126
PF3D7_1446700	231	73	44
PF3D7_0929700	1	1	0
PF3D7_0524800	72	19	3
PF3D7_1451700	264	130	53
PF3D7_1431700	3763	1058	293
PF3D7_1237800	180	77	19
PF3D7_0200300	57	7	1
PF3D7_1309700	494	246	235
PF3D7_0109950	78	29	16
PF3D7_0814700	4	0	2
PF3D7_1436500	40	19	4
PF3D7_1349200	2856	903	1537
PF3D7_1028400	1383	316	321
PF3D7_0907800	64	31	19
PF3D7_0822700	24	13	6
PF3D7_1414800	862	307	275
PF3D7_0728400	11	5	3
PF3D7_1248500	3608	1258	332
PF3D7_0425200	6	6	0
PF3D7_0103400	1122	403	429
PF3D7_1338900	136	74	23
PF3D7_0927800	757	227	286
PF3D7_1368900	233	74	36
PF3D7_0824500	82	35	4
PF3D7_0817300	1031	287	206
PF3D7_1127600	388	128	82
PF3D7_1452000	1501	560	365
PF3D7_1133200	2276	1008	526
PF3D7_0907000	10	3	0
PF3D7_1220400	49	19	6
PF3D7_1373300	0	1	0
